,Unnamed: 0,lotId,units,addressState,addressCity,addressZipcode,baths,beds,price,unformattedPrice,id
3732,2010,2077223369.0,"'price': '$5,100+', 'beds': '3'}]",CA,Los Angeles,90017,,,,,34.052197_rrc2*-rrc_118.26222
3733,2011,1001466431.0,"[{'price': '$2,270+', 'beds': '0'",CA,Los Angeles,90013,,,,,34.048237_rrc2*-rrc_118.24672
3734,2011,1001466431.0,"'price': '$2,400+', 'beds': '1'",CA,Los Angeles,90013,,,,,34.048237_rrc2*-rrc_118.24672
3735,2011,1001466431.0,"'price': '$3,150+', 'beds': '2'}]",CA,Los Angeles,90013,,,,,34.048237_rrc2*-rrc_118.24672
3736,2012,2432865743.0,"[{'price': '$2,615+', 'beds': '1'",CA,Northridge,91324,,,,,34.23559_rrc2*-rrc_118.5589
3737,2012,2432865743.0,"'price': '$3,309+', 'beds': '2'",CA,Northridge,91324,,,,,34.23559_rrc2*-rrc_118.5589
3738,2012,2432865743.0,"'price': '$4,082+', 'beds': '3'}]",CA,Northridge,91324,,,,,34.23559_rrc2*-rrc_118.5589
3739,2013,2115556131.0,"[{'price': '$2,538+', 'beds': '0'",CA,Los Angeles,90028,,,,,34.097393_rrc2*-rrc_118.324
3740,2013,2115556131.0,"'price': '$2,859+', 'beds': '1'",CA,Los Angeles,90028,,,,,34.097393_rrc2*-rrc_118.324
3741,2013,2115556131.0,"'price': '$3,975+', 'beds': '2'}]",CA,Los Angeles,90028,,,,,34.097393_rrc2*-rrc_118.324
3742,2014,2483528033.0,"[{'price': '$2,200+', 'beds': '0'",CA,Los Angeles,90015,,,,,34.04235_rrc2*-rrc_118.25654
3743,2014,2483528033.0,"'price': '$2,250+', 'beds': '1'",CA,Los Angeles,90015,,,,,34.04235_rrc2*-rrc_118.25654
3744,2014,2483528033.0,"'price': '$3,700+', 'beds': '2'}]",CA,Los Angeles,90015,,,,,34.04235_rrc2*-rrc_118.25654
3745,2015,2115555846.0,"[{'price': '$4,125+', 'beds': '1'",CA,Los Angeles,90028,,,,,34.104713_rrc2*-rrc_118.33664
3746,2015,2115555846.0,"'price': '$4,263+', 'beds': '2'",CA,Los Angeles,90028,,,,,34.104713_rrc2*-rrc_118.33664
3747,2015,2115555846.0,"'price': '$6,119+', 'beds': '3'}]",CA,Los Angeles,90028,,,,,34.104713_rrc2*-rrc_118.33664
3748,2016,1001579993.0,"[{'price': '$3,195+', 'beds': '1'}]",CA,Los Angeles,90024,,,,,34.06072_rrc2*-rrc_118.44226
3749,2017,2287330581.0,"[{'price': '$3,095+', 'beds': '0'",CA,Los Angeles,90028,,,,,34.10315_rrc2*-rrc_118.325325
3750,2017,2287330581.0,"'price': '$4,695+', 'beds': '1'",CA,Los Angeles,90028,,,,,34.10315_rrc2*-rrc_118.325325
3751,2017,2287330581.0,"'price': '$7,125+', 'beds': '2'}]",CA,Los Angeles,90028,,,,,34.10315_rrc2*-rrc_118.325325
3752,2018,1049498176.0,"[{'price': '$3,610+', 'beds': '1'}]",CA,Los Angeles,90048,,,,,34.078407_rrc2*-rrc_118.37709
3753,2019,2618537985.0,"[{'price': '$2,711+', 'beds': '0'",CA,Los Angeles,90028,,,,,34.098904_rrc2*-rrc_118.33354
3754,2019,2618537985.0,"'price': '$3,156+', 'beds': '1'",CA,Los Angeles,90028,,,,,34.098904_rrc2*-rrc_118.33354
3755,2019,2618537985.0,"'price': '$3,178+', 'beds': '2'}]",CA,Los Angeles,90028,,,,,34.098904_rrc2*-rrc_118.33354
