,Unnamed: 0,lotId,units,addressState,addressCity,addressZipcode,baths,beds,price,unformattedPrice,id
2593,1384,2313115140.0,"$4,396,bds2",DC,Washington,20024,,2,,"$4,396",38.879276_rrc2*-rrc_77.02399
2594,1385,2090343142.0,"$1,721,bds0",DC,Washington,20012,,0,,"$1,721",38.9735_rrc2*-rrc_77.01495
2595,1385,2090343142.0,"$1,626,bds1",DC,Washington,20012,,1,,"$1,626",38.9735_rrc2*-rrc_77.01495
2596,1385,2090343142.0,"$3,033,bds2",DC,Washington,20012,,2,,"$3,033",38.9735_rrc2*-rrc_77.01495
2597,1386,1002250164.0,"$1,895,bds0",DC,Washington,20010,,0,,"$1,895",38.928387_rrc2*-rrc_77.0336
2598,1386,1002250164.0,"$2,105,bds1",DC,Washington,20010,,1,,"$2,105",38.928387_rrc2*-rrc_77.0336
2599,1386,1002250164.0,"$3,150,bds2",DC,Washington,20010,,2,,"$3,150",38.928387_rrc2*-rrc_77.0336
2600,1387,1008667984.0,"$1,623,bds0",DC,Washington,20002,,0,,"$1,623",38.915665_rrc2*-rrc_76.98443
2601,1387,1008667984.0,"$1,802,bds1",DC,Washington,20002,,1,,"$1,802",38.915665_rrc2*-rrc_76.98443
2602,1387,1008667984.0,"$2,352,bds2",DC,Washington,20002,,2,,"$2,352",38.915665_rrc2*-rrc_76.98443
2603,1388,2121673962.0,"$1,864,bds0",DC,Washington,20024,,0,,"$1,864",38.86664_rrc2*-rrc_77.00982
2604,1388,2121673962.0,"$2,028,bds1",DC,Washington,20024,,1,,"$2,028",38.86664_rrc2*-rrc_77.00982
2605,1388,2121673962.0,"$3,076,bds2",DC,Washington,20024,,2,,"$3,076",38.86664_rrc2*-rrc_77.00982
2606,1388,2121673962.0,"$4,082,bds3",DC,Washington,20024,,3,,"$4,082",38.86664_rrc2*-rrc_77.00982
2607,1389,1001858189.0,"$1,908,bds0",DC,Washington,20037,,0,,"$1,908",38.901417_rrc2*-rrc_77.052795
2608,1390,1001416892.0,"$1,690,bds1",DC,Washington,20017,,1,,"$1,690",38.929012_rrc2*-rrc_77.007744
2609,1390,1001416892.0,"$2,070,bds2",DC,Washington,20017,,2,,"$2,070",38.929012_rrc2*-rrc_77.007744
2610,1390,1001416892.0,"$3,080,bds3",DC,Washington,20017,,3,,"$3,080",38.929012_rrc2*-rrc_77.007744
